Time,sm_surface
"Aug 1, 2022",0.372
"Aug 1, 2022",0.374
"Aug 1, 2022",0.374
"Aug 1, 2022",0.367
"Aug 1, 2022",0.359
"Aug 1, 2022",0.358
"Aug 1, 2022",0.359
"Aug 1, 2022",0.362
"Aug 2, 2022",0.364
"Aug 2, 2022",0.358
"Aug 2, 2022",0.363
"Aug 2, 2022",0.359
"Aug 2, 2022",0.352
"Aug 2, 2022",0.353
"Aug 2, 2022",0.356
"Aug 2, 2022",0.36
"Aug 3, 2022",0.371
"Aug 3, 2022",0.373
"Aug 3, 2022",0.377
"Aug 3, 2022",0.371
"Aug 3, 2022",0.364
"Aug 3, 2022",0.353
"Aug 3, 2022",0.357
"Aug 3, 2022",0.361
"Aug 4, 2022",0.365
"Aug 4, 2022",0.368
"Aug 4, 2022",0.368
"Aug 4, 2022",0.361
"Aug 4, 2022",0.353
"Aug 4, 2022",0.353
"Aug 4, 2022",0.357
"Aug 4, 2022",0.36
"Aug 5, 2022",0.364
"Aug 5, 2022",0.366
"Aug 5, 2022",0.365
"Aug 5, 2022",0.356
"Aug 5, 2022",0.346
"Aug 5, 2022",0.346
"Aug 5, 2022",0.35
"Aug 5, 2022",0.354
"Aug 6, 2022",0.358
"Aug 6, 2022",0.361
"Aug 6, 2022",0.362
"Aug 6, 2022",0.352
"Aug 6, 2022",0.341
"Aug 6, 2022",0.339
"Aug 6, 2022",0.342
"Aug 6, 2022",0.346
"Aug 7, 2022",0.352
"Aug 7, 2022",0.356
"Aug 7, 2022",0.356
"Aug 7, 2022",0.347
"Aug 7, 2022",0.337
"Aug 7, 2022",0.336
"Aug 7, 2022",0.339
"Aug 7, 2022",0.34
"Aug 8, 2022",0.343
"Aug 8, 2022",0.346
"Aug 8, 2022",0.348
"Aug 8, 2022",0.342
"Aug 8, 2022",0.334
"Aug 8, 2022",0.333
"Aug 8, 2022",0.338
"Aug 8, 2022",0.343
"Aug 9, 2022",0.347
"Aug 9, 2022",0.351
"Aug 9, 2022",0.352
"Aug 9, 2022",0.346
"Aug 9, 2022",0.339
"Aug 9, 2022",0.34
"Aug 9, 2022",0.345
"Aug 9, 2022",0.348
"Aug 10, 2022",0.352
